Player,Team,Pos,name,GSIS_ID,Birth_date,season
Anthony Sherman,KC,FB,A.Sherman,00-0028074,1988-12-11,2014
Erik Lorig,NO,FB,E.Lorig,00-0027844,1986-11-17,2014
James Develin,NE,FB,J.Develin,00-0027925,1988-07-23,2014
Will Tukuafu,SEA,FB,W.Tukuafu,00-0027905,1984-01-03,2014
Ray Agnew,CLE,FB,R.Agnew,00-0030653,1991-02-26,2014
Will Johnson,PIT,FB,W.Johnson,00-0028841,1988-11-14,2014
Jamize Olawale,OAK,RB,J.Olawale,00-0029492,1989-04-17,2014
Jalen Parmele,ARI,RB,J.Parmele,00-0026316,1985-12-30,2014
Antonio Brown,PIT,WR,A.Brown,00-0027793,1988-07-10,2014
Demaryius Thomas,DEN,WR,D.Thomas,00-0027874,1987-12-25,2014
Julio Jones,ATL,WR,J.Jones,00-0027944,1989-02-08,2014
Emmanuel Sanders,DEN,WR,E.Sanders,00-0027685,1987-03-17,2014
Golden Tate,DET,WR,G.Tate,00-0027891,1988-08-02,2014
Jordy Nelson,GB,WR,J.Nelson,00-0026176,1985-05-31,2014
Julian Edelman,NE,WR,J.Edelman,00-0027150,1986-05-22,2014
Odell Beckham,NYG,WR,O.Beckham,00-0031235,1992-11-05,2014
Randall Cobb,GB,WR,R.Cobb,00-0028002,1990-08-22,2014
Dez Bryant,DAL,WR,D.Bryant,00-0027902,1988-11-04,2014
Alshon Jeffery,CHI,WR,A.Jeffery,00-0029137,1990-02-14,2014
Andre Johnson,HOU,WR,A.Johnson,00-0022044,1981-07-11,2014
Jeremy Maclin,PHI,WR,J.Maclin,00-0026995,1988-05-11,2014
Jarvis Landry,MIA,WR,J.Landry,00-0031382,1992-11-28,2014
Anquan Boldin,SF,WR,A.Boldin,00-0022084,1980-10-03,2014
T.Y. Hilton,IND,WR,T.Hilton,00-0029608,1989-11-14,2014
Roddy White,ATL,WR,R.White,00-0023462,1981-11-02,2014
Steve Smith,BAL,WR,S.Smith,00-0020337,1979-05-12,2014
Keenan Allen,SD,WR,K.Allen,00-0030279,1992-04-27,2014
DeAndre Hopkins,HOU,WR,D.Hopkins,00-0030564,1992-06-06,2014
Eric Decker,NYJ,WR,E.Decker,00-0027690,1987-03-15,2014
Brandon LaFell,NE,WR,B.LaFell,00-0027681,1986-11-04,2014
Kelvin Benjamin,CAR,WR,K.Benjamin,00-0031359,1991-02-05,2014
James Jones,OAK,WR,J.Jones,00-0025465,1984-03-31,2014
Calvin Johnson,DET,WR,C.Johnson,00-0025389,1985-09-29,2014
Rueben Randle,NYG,WR,R.Randle,00-0029262,1991-05-07,2014
Vincent Jackson,TB,WR,V.Jackson,00-0023496,1983-01-14,2014
A.J. Green,CIN,WR,A.Green,00-0027942,1988-07-31,2014
Michael Crabtree,SF,WR,M.Crabtree,00-0026986,1987-09-14,2014
Mike Evans,TB,WR,M.Evans,00-0031408,1993-08-21,2014
Pierre Garcon,WAS,WR,P.Garcon,00-0026345,1986-08-08,2014
Jordan Matthews,PHI,WR,J.Matthews,00-0031299,1992-07-16,2014
Mike Wallace,MIA,WR,M.Wallace,00-0026901,1986-08-01,2014
Doug Baldwin,SEA,WR,D.Baldwin,00-0028434,1988-09-21,2014
Sammy Watkins,BUF,WR,S.Watkins,00-0031325,1993-06-14,2014
Robert Woods,BUF,WR,R.Woods,00-0030431,1992-04-10,2014
Reggie Wayne,IND,WR,R.Wayne,00-0020498,1978-11-17,2014
Larry Fitzgerald,ARI,WR,L.Fitzgerald,00-0022921,1983-08-31,2014
Andrew Hawkins,CLE,WR,A.Hawkins,00-0027918,1986-03-10,2014
Kenny Stills,NO,WR,K.Stills,00-0030085,1992-04-22,2014
Eddie Royal,SD,WR,E.Royal,00-0026182,1986-05-21,2014
Brandon Marshall,CHI,WR,B.Marshall,00-0024334,1984-03-23,2014
Dwayne Bowe,KC,WR,D.Bowe,00-0025410,1984-09-21,2014
Marques Colston,NO,WR,M.Colston,00-0024466,1983-06-05,2014
Greg Jennings,MIN,WR,G.Jennings,00-0024267,1983-09-21,2014
Kendall Wright,TEN,WR,K.Wright,00-0029708,1989-11-12,2014
DeSean Jackson,WAS,WR,D.Jackson,00-0026189,1986-12-01,2014
Mohamed Sanu,CIN,WR,M.Sanu,00-0029632,1989-08-22,2014
Riley Cooper,PHI,WR,R.Cooper,00-0027758,1987-09-09,2014
Brandin Cooks,NO,WR,B.Cooks,00-0031236,1993-09-25,2014
Cecil Shorts,JAC,WR,C.Shorts,00-0028052,1987-12-22,2014
Markus Wheaton,PIT,WR,M.Wheaton,00-0030460,1991-02-07,2014
Malcom Floyd,SD,WR,M.Floyd,00-0022414,1981-09-08,2014
Harry Douglas,ATL,WR,H.Douglas,00-0026224,1984-09-16,2014
Allen Hurns,JAC,WR,A.Hurns,00-0030821,1991-11-12,2014
Torrey Smith,BAL,WR,T.Smith,00-0027996,1989-01-26,2014
Wes Welker,DEN,WR,W.Welker,00-0022427,1981-05-01,2014
Kenny Britt,STL,WR,K.Britt,00-0027006,1988-09-19,2014
John Brown,ARI,WR,J.Brown,00-0031051,1990-04-03,2014
Jerricho Cotchery,CAR,WR,J.Cotchery,00-0022811,1982-06-16,2014
Allen Robinson,JAC,WR,A.Robinson,00-0031428,1993-08-24,2014
Miles Austin,CLE,WR,M.Austin,00-0023921,1984-06-30,2014
Michael Floyd,ARI,WR,M.Floyd,00-0029638,1989-11-27,2014
Andre Holmes,OAK,WR,A.Holmes,00-0028263,1988-06-16,2014
Jarius Wright,MIN,WR,J.Wright,00-0029572,1989-11-25,2014
Chris Hogan,BUF,WR,C.Hogan,00-0028237,1987-10-24,2014
Nate Washington,TEN,WR,N.Washington,00-0023367,1983-08-28,2014
Brian Hartline,MIA,WR,B.Hartline,00-0027077,1986-11-22,2014
Davante Adams,GB,WR,D.Adams,00-0031381,1992-12-24,2014
Devin Hester,ATL,WR,D.Hester,00-0024272,1982-11-04,2014
Jermaine Kearse,SEA,WR,J.Kearse,00-0029159,1990-02-06,2014
Jeremy Kerley,NYJ,WR,J.Kerley,00-0028091,1988-11-08,2014
Hakeem Nicks,IND,WR,H.Nicks,00-0027005,1988-01-14,2014
Cole Beasley,DAL,WR,C.Beasley,00-0029000,1989-04-26,2014
Marqise Lee,JAC,WR,M.Lee,00-0031431,1991-11-25,2014
Terrance Williams,DAL,WR,T.Williams,00-0030542,1989-09-18,2014
Taylor Gabriel,CLE,WR,T.Gabriel,00-0031228,1991-02-17,2014
Preston Parker,NYG,WR,P.Parker,00-0027450,1987-02-13,2014
Andre Roberts,WAS,WR,A.Roberts,00-0027691,1988-01-09,2014
Steve Johnson,SF,WR,S.Johnson,00-0026364,1986-07-22,2014
Cordarrelle Patterson,MIN,WR,C.Patterson,00-0030578,1991-03-17,2014
Donte Moncrief,IND,WR,D.Moncrief,00-0031339,1993-08-06,2014
Tavon Austin,STL,WR,T.Austin,00-0030525,1990-03-15,2014
Damaris Johnson,HOU,WR,D.Johnson,00-0029435,1989-11-22,2014
Charles D. Johnson,MIN,WR,C.Johnson,00-0030113,1989-02-27,2014
Louis Murphy,TB,WR,L.Murphy,00-0027089,1987-05-11,2014
Stedman Bailey,STL,WR,S.Bailey,00-0030532,1990-11-11,2014
Brandon Gibson,MIA,WR,B.Gibson,00-0026937,1987-08-13,2014
Percy Harvin,NYJ,WR,P.Harvin,00-0026998,1988-05-28,2014
Paul Richardson,SEA,WR,P.Richardson,00-0031257,1992-04-13,2014
Justin Hunter,TEN,WR,J.Hunter,00-0030521,1991-05-20,2014
Danny Amendola,NE,WR,D.Amendola,00-0026035,1985-11-02,2014
Martavis Bryant,PIT,WR,M.Bryant,00-0031373,1991-12-20,2014
Brian Quick,STL,WR,B.Quick,00-0029640,1989-06-05,2014
Kamar Aiken,BAL,WR,K.Aiken,00-0028497,1989-05-30,2014
Marlon Brown,BAL,WR,M.Brown,00-0030400,1991-04-22,2014
Josh Gordon,CLE,WR,J.Gordon,00-0029664,1991-04-13,2014
Jeremy Ross,DET,WR,J.Ross,00-0028249,1988-03-16,2014
Victor Cruz,NYG,WR,V.Cruz,00-0027265,1986-11-11,2014
Jaron Brown,ARI,WR,J.Brown,00-0030300,1990-01-08,2014
Corey Brown,CAR,WR,C.Brown,00-0031118,1991-12-16,2014
Brice Butler,OAK,WR,B.Butler,00-0030516,1990-01-29,2014
Derek Hagan,TEN,WR,D.Hagan,00-0024297,1984-09-21,2014
Travis Benjamin,CLE,WR,T.Benjamin,00-0029269,1989-12-29,2014
Brandon Tate,CIN,WR,B.Tate,00-0027057,1987-10-05,2014
Nick Toon,NO,WR,N.Toon,00-0029667,1988-11-04,2014
Marquess Wilson,CHI,WR,M.Wilson,00-0030047,1992-09-14,2014
Albert Wilson,KC,WR,A.Wilson,00-0030669,1992-07-12,2014
Donnie Avery,KC,WR,D.Avery,00-0026173,1984-06-12,2014
Kenbrell Thompkins,OAK,WR,K.Thompkins,00-0030000,1988-07-29,2014
Corey Fuller,DET,WR,C.Fuller,00-0030095,1990-06-23,2014
Ted Ginn,ARI,WR,T.Ginn,00-0025396,1985-04-12,2014
Brandon Lloyd,SF,WR,B.Lloyd,00-0022097,1981-07-05,2014
Lance Moore,PIT,WR,L.Moore,00-0023310,1983-08-31,2014
Jason Avant,KC,WR,J.Avant,00-0024324,1983-04-20,2014
Brenton Bersin,CAR,WR,B.Bersin,00-0029394,1990-05-09,2014
Justin Brown,PIT,WR,J.Brown,00-0030466,1991-03-10,2014
Vincent Brown,OAK,WR,V.Brown,00-0028020,1989-01-25,2014
Junior Hemingway,KC,WR,J.Hemingway,00-0029311,1988-12-27,2014
Dontrelle Inman,SD,WR,D.Inman,00-0028411,1989-01-31,2014
Rishard Matthews,MIA,WR,R.Matthews,00-0029580,1989-10-12,2014
Denarius Moore,OAK,WR,D.Moore,00-0028086,1988-12-09,2014
Austin Pettis,STL,WR,A.Pettis,00-0028016,1988-02-08,2014
Chris Givens,STL,WR,C.Givens,00-0029614,1989-12-06,2014
Ricardo Lockette,SEA,WR,R.Lockette,00-0028442,1986-05-21,2014
Josh Morgan,CHI,WR,J.Morgan,00-0026314,1985-06-20,2014
Santana Moss,WAS,WR,S.Moss,00-0020494,1979-06-01,2014
Eric Weems,ATL,WR,E.Weems,00-0024535,1985-07-04,2014
A.J. Jenkins,KC,WR,A.Jenkins,00-0029654,1989-09-08,2014
Jacoby Jones,BAL,WR,J.Jones,00-0025460,1984-07-11,2014
Kevin Norwood,SEA,WR,K.Norwood,00-0031327,1989-09-23,2014
Dane Sanzenbacher,CIN,WR,D.Sanzenbacher,00-0028352,1988-10-13,2014
Rod Streater,OAK,WR,R.Streater,00-0029129,1988-02-09,2014
Santonio Holmes,CHI,WR,S.Holmes,00-0024240,1984-03-03,2014
Josh Huff,PHI,WR,J.Huff,00-0030990,1991-10-14,2014
David Nelson,NYJ,WR,D.Nelson,00-0027322,1986-11-07,2014
Greg Salas,NYJ,WR,G.Salas,00-0028050,1988-08-25,2014
Adam Thielen,MIN,WR,A.Thielen,00-0030035,1990-08-22,2014
Mike Williams,BUF,WR,M.Williams,00-0027702,1987-05-18,2014
Mike Brown,JAC,WR,M.Brown,00-0029155,1989-02-09,2014
Michael Campanaro,BAL,WR,M.Campanaro,00-0031025,1991-01-25,2014
Ryan Grant,WAS,WR,R.Grant,00-0031068,1990-12-19,2014
Dwayne Harris,DAL,WR,D.Harris,00-0028114,1987-09-16,2014
Robert Meachem,NO,WR,R.Meachem,00-0025414,1984-09-28,2014
Kris Durham,TEN,WR,K.Durham,00-0028045,1988-03-17,2014
Bruce Ellington,SF,WR,B.Ellington,00-0031326,1991-08-22,2014
Robert Herron,TB,WR,R.Herron,00-0031187,1992-06-02,2014
